Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11_Pin,
"J2, J3",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Pin,
